Name,Award,Food Style 1,Food Style 2,Pricing,Online Booking?,Take Away?,Delivery?,Chef,City,Area,Region,Country,Country Code,Currency,Good Menu?,Green Star?,Latitude,Longitude,Michelin URL,Identifier,Scrape Date,Market
La'Shukran,selected,Middle Eastern,NA,premium,0,0,0,,Washington,,District of Columbia,USA,US,USD,0,,38.9072946,-76.9996085,/us/en/district-of-columbia/washington-dc/restaurant/la-shukran,1216336,2026-03-17,US
Café Riggs,selected,Contemporary,French,premium,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.8975559,-77.0242625,/us/en/district-of-columbia/washington-dc/restaurant/cafe-riggs,1190829,2026-03-17,US
Xiquet,ONE_STAR,Spanish,NA,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.9215871,-77.0723834,/us/en/district-of-columbia/washington-dc/restaurant/xiquet,1184921,2026-03-17,US
Rooster & Owl,ONE_STAR,Contemporary,Fusion,premium,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.9214669,-77.0321599,/us/en/district-of-columbia/washington-dc/restaurant/rooster-owl,1164753,2026-03-17,US
Family Ethiopian,selected,Ethiopian,Regional Cuisine,mid-range,0,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.9092821,-77.0242099,/us/en/district-of-columbia/washington-dc/restaurant/family-ethiopian,1195106,2026-03-17,US
Masseria,ONE_STAR,Italian,Regional Cuisine,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.909504,-76.99908,/us/en/district-of-columbia/washington-dc/restaurant/masseria,499964,2026-03-17,US
Ris,selected,American,NA,mid-range,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.90384,-77.04993,/us/en/district-of-columbia/washington-dc/restaurant/ris,499989,2026-03-17,US
Thip Khao,selected,Lao,NA,mid-range,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.932957,-77.032845,/us/en/district-of-columbia/washington-dc/restaurant/thip-khao,500001,2026-03-17,US
Toki Underground,BIB_GOURMAND,Japanese,Ramen,affordable,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.900337,-76.98891,/us/en/district-of-columbia/washington-dc/restaurant/toki-underground,502400,2026-03-17,US
Ellē,BIB_GOURMAND,Contemporary,Bakery,mid-range,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.93187,-77.03842,/us/en/district-of-columbia/washington-dc/restaurant/elle,561986,2026-03-17,US
Blue Duck Tavern,selected,American,American Contemporary,luxury,0,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.905373,-77.05128,/us/en/district-of-columbia/washington-dc/restaurant/blue-duck-tavern,499524,2026-03-17,US
