country,iso3,merge_note,gdp_per_capita_usd_2022,gdp_per_capita_usd_2023,gdp_per_capita_usd_2024,gdp_source,urban_pct_2022,urban_pct_2023,urban_pct_2024,urban_source,tourism_2022,tourism_2023,tourism_2024,tourism_confidence,tourism_source,restaurant_count,restaurant_count_year,restaurant_confidence,restaurant_nace_equiv,restaurant_source
France,FRA,Andorra + Principality of Monaco merged into France (tourism/restaurant counts summed; GDP/urban from France),40988.64,44700.14,46103.08,World Bank WDI (NY.GDP.PCAP.CD),78.7592,78.7804,78.8,World Bank WDI (SP.URB.TOTL.IN.ZS),88154000.0,109380000,111920000.0,HIGH,UNWTO / national tourism authorities,178330,2023,HIGH,NACE_56.1_exact,Eurostat NACE 56.1 / national equivalents
Spain,ESP,,30319.5,33493.22,35326.77,World Bank WDI (NY.GDP.PCAP.CD),79.9549,80.1285,80.3152,World Bank WDI (SP.URB.TOTL.IN.ZS),71700000.0,85200000,93800000.0,HIGH,UNWTO / national tourism authorities,75470,2023,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents
Italy,ITA,,35653.9,39277.08,40385.34,World Bank WDI (NY.GDP.PCAP.CD),69.484,69.5382,69.6048,World Bank WDI (SP.URB.TOTL.IN.ZS),49800000.0,57200000,57800000.0,HIGH,UNWTO / national tourism authorities,155560,2023,HIGH,NACE_56.1_exact,Eurostat NACE 56.1 / national equivalents
Germany,DEU,,50506.52,54776.77,56103.73,World Bank WDI (NY.GDP.PCAP.CD),81.7868,81.9034,82.0211,World Bank WDI (SP.URB.TOTL.IN.ZS),28500000.0,34800000,37500000.0,HIGH,UNWTO / national tourism authorities,140370,2023,HIGH,NACE_56.1_exact,Eurostat NACE 56.1 / national equivalents
United Kingdom,GBR,,47057.04,49944.47,53246.37,World Bank WDI (NY.GDP.PCAP.CD),83.0754,83.1602,83.243,World Bank WDI (SP.URB.TOTL.IN.ZS),30700000.0,37200000,41800000.0,HIGH,UNWTO / national tourism authorities,101152,2022,HIGH,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
USA,USA,,76657.25,81032.26,84534.04,World Bank WDI (NY.GDP.PCAP.CD),80.0325,80.0716,80.1248,World Bank WDI (SP.URB.TOTL.IN.ZS),50900000.0,66500000,72400000.0,HIGH,UNWTO / national tourism authorities,500000,2023,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Japan,JPN,,34065.64,33836.18,32487.08,World Bank WDI (NY.GDP.PCAP.CD),91.9777,92.0827,92.1902,World Bank WDI (SP.URB.TOTL.IN.ZS),3800000.0,25100000,36900000.0,HIGH,UNWTO / national tourism authorities,935350,2023,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
South Korea,KOR,,34822.4,35674.1,36238.64,World Bank WDI (NY.GDP.PCAP.CD),81.1625,81.1646,81.1683,World Bank WDI (SP.URB.TOTL.IN.ZS),3200000.0,11000000,16400000.0,HIGH,UNWTO / national tourism authorities,957600,2022,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
China Mainland,CHN,,12720.0,12614.0,13141.0,World Bank WDI (NY.GDP.PCAP.CD) — hardcoded from WB country pages (missing from batch pull),65.22,66.16,67.05,World Bank WDI (SP.URB.TOTL.IN.ZS) — hardcoded from WB country pages,,35500000,64900000.0,HIGH,UNWTO / national tourism authorities,9300000,2020,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Taiwan,TWN,,32909.32,32336.5,34059.67,IMF World Economic Outlook (Taiwan Province of China),,80.1,,CIA World Factbook / UN DESA 2023,6486951.0,7857686,,HIGH,UNWTO / national tourism authorities,130000,2022,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Hong Kong + Macao,HKG,Hong Kong + Macao combined (tourism/restaurant counts summed; GDP/urban from Hong Kong SAR),48825.84,50562.36,54074.69,World Bank WDI (NY.GDP.PCAP.CD),100.0,100.0,100.0,World Bank WDI (SP.URB.TOTL.IN.ZS),6300000.0,62200000,79900000.0,HIGH,UNWTO / national tourism authorities,19000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Singapore,SGP,,90299.07,85412.23,90674.07,World Bank WDI (NY.GDP.PCAP.CD),100.0,100.0,100.0,World Bank WDI (SP.URB.TOTL.IN.ZS),6300000.0,13610000,16520000.0,HIGH,UNWTO / national tourism authorities,5560,2022,HIGH,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Malaysia,MYS,,11754.57,11386.04,11874.43,World Bank WDI (NY.GDP.PCAP.CD),75.9741,76.4435,76.917,World Bank WDI (SP.URB.TOTL.IN.ZS),10100000.0,20100000,25000000.0,HIGH,UNWTO / national tourism authorities,120000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Thailand,THA,,6909.35,7195.1,7346.62,World Bank WDI (NY.GDP.PCAP.CD),59.7424,60.9342,61.8689,World Bank WDI (SP.URB.TOTL.IN.ZS),11200000.0,28200000,35500000.0,HIGH,UNWTO / national tourism authorities,300000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Vietnam,VNM,,4147.7,4323.35,4717.29,World Bank WDI (NY.GDP.PCAP.CD),37.5479,38.1299,38.4901,World Bank WDI (SP.URB.TOTL.IN.ZS),3700000.0,12600000,17500000.0,HIGH,UNWTO / national tourism authorities,200000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
The Philippines,PHL,,3548.07,3804.08,3984.83,World Bank WDI (NY.GDP.PCAP.CD),54.7902,55.1243,55.4521,World Bank WDI (SP.URB.TOTL.IN.ZS),2654000.0,5450000,7000000.0,MEDIUM,UNWTO / national tourism authorities,100000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Canada,CAN,,56256.8,54220.33,54340.35,World Bank WDI (NY.GDP.PCAP.CD),82.3501,82.5251,82.7003,World Bank WDI (SP.URB.TOTL.IN.ZS),12800000.0,18300000,20000000.0,HIGH,UNWTO / national tourism authorities,67119,2024,HIGH,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Brazil,BRA,,9281.33,10377.59,10310.55,World Bank WDI (NY.GDP.PCAP.CD),87.3496,87.616,87.8959,World Bank WDI (SP.URB.TOTL.IN.ZS),3600000.0,5900000,6700000.0,HIGH,UNWTO / national tourism authorities,500000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Mexico,MEX,,11405.79,13860.96,14185.78,World Bank WDI (NY.GDP.PCAP.CD),79.1997,79.4735,79.7539,World Bank WDI (SP.URB.TOTL.IN.ZS),38300000.0,42200000,45000000.0,HIGH,UNWTO / national tourism authorities,300000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Argentina,ARG,,13962.19,14261.85,13969.78,World Bank WDI (NY.GDP.PCAP.CD),92.1128,92.1945,92.2742,World Bank WDI (SP.URB.TOTL.IN.ZS),3800000.0,7200000,6600000.0,HIGH,UNWTO / national tourism authorities,80000,2022,LOW,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Portugal,PRT,,24620.52,27634.62,29292.24,World Bank WDI (NY.GDP.PCAP.CD),61.1259,61.2049,61.3282,World Bank WDI (SP.URB.TOTL.IN.ZS),22200000.0,26500000,29000000.0,HIGH,UNWTO / national tourism authorities,38000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents
Austria,AUT,,52336.77,56579.5,58268.88,World Bank WDI (NY.GDP.PCAP.CD),68.9981,69.2265,69.4658,World Bank WDI (SP.URB.TOTL.IN.ZS),26200000.0,30900000,32200000.0,HIGH,UNWTO / national tourism authorities,22000,2023,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents
Netherlands,NLD,,59123.32,63515.6,67520.42,World Bank WDI (NY.GDP.PCAP.CD),94.9856,95.3222,95.6397,World Bank WDI (SP.URB.TOTL.IN.ZS),16100000.0,20300000,21200000.0,HIGH,UNWTO / national tourism authorities,36000,2023,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents
Belgium,BEL,,50605.75,55291.48,56614.57,World Bank WDI (NY.GDP.PCAP.CD),87.4892,87.5515,87.6127,World Bank WDI (SP.URB.TOTL.IN.ZS),8220000.0,10000000,11000000.0,MEDIUM,UNWTO / national tourism authorities,25000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents
Switzerland,CHE,Liechtenstein merged into Switzerland (tourism/restaurant counts summed; GDP/urban from Switzerland),94394.51,100623.55,103998.19,World Bank WDI (NY.GDP.PCAP.CD),84.9206,85.1854,85.4615,World Bank WDI (SP.URB.TOTL.IN.ZS),9260800.0,11115000,12125000.0,MEDIUM,UNWTO / national tourism authorities,22250,2022,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
Ireland,IRL,,105190.69,106818.92,112894.95,World Bank WDI (NY.GDP.PCAP.CD),63.892,64.1152,64.347,World Bank WDI (SP.URB.TOTL.IN.ZS),9000000.0,10500000,11500000.0,MEDIUM,UNWTO / national tourism authorities,18000,2022,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents
Sweden,SWE,,54836.89,54950.28,57117.49,World Bank WDI (NY.GDP.PCAP.CD),88.4039,88.6312,88.856,World Bank WDI (SP.URB.TOTL.IN.ZS),6000000.0,7500000,8500000.0,MEDIUM,UNWTO / national tourism authorities,22000,2023,MEDIUM,NACE_56.1_approx,Eurostat NACE 56.1 / national equivalents
Norway,NOR,,109269.52,87497.22,86785.43,World Bank WDI (NY.GDP.PCAP.CD),82.9564,83.0719,83.3294,World Bank WDI (SP.URB.TOTL.IN.ZS),5000000.0,6200000,7000000.0,MEDIUM,UNWTO / national tourism authorities,15000,2022,MEDIUM,NACE_56.1_equivalent,Eurostat NACE 56.1 / national equivalents
