Name,Award,Food Style 1,Food Style 2,Pricing,Online Booking?,Take Away?,Delivery?,Chef,City,Area,Region,Country,Country Code,Currency,Good Menu?,Green Star?,Latitude,Longitude,Michelin URL,Identifier,Scrape Date,Market
Xiquet,ONE_STAR,Spanish,NA,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.9215871,-77.0723834,/us/en/district-of-columbia/washington-dc/restaurant/xiquet,1184921,2026-03-17,US
Rooster & Owl,ONE_STAR,Contemporary,Fusion,premium,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.9214669,-77.0321599,/us/en/district-of-columbia/washington-dc/restaurant/rooster-owl,1164753,2026-03-17,US
Masseria,ONE_STAR,Italian,Regional Cuisine,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.909504,-76.99908,/us/en/district-of-columbia/washington-dc/restaurant/masseria,499964,2026-03-17,US
Omakase at Barracks Row,ONE_STAR,Japanese,Sushi,luxury,0,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.8818451,-76.9949278,/us/en/district-of-columbia/washington-dc/restaurant/omakase-at-barracks-row,1210617,2026-03-17,US
Jônt,TWO_STARS,Contemporary,NA,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.9158847,-77.0321498,/us/en/district-of-columbia/washington-dc/restaurant/jont,1164948,2026-03-17,US
The Dabney,ONE_STAR,American,Contemporary,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.9062921,-77.0245936,/us/en/district-of-columbia/washington-dc/restaurant/the-dabney,502397,2026-03-17,US
Elcielo Washington DC,ONE_STAR,Colombian,Contemporary,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.9090145,-76.9994792,/us/en/district-of-columbia/washington-dc/restaurant/elcielo-d-c,1191941,2026-03-17,US
minibar by José Andrés,TWO_STARS,Contemporary,NA,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.896294,-77.02386,/us/en/district-of-columbia/washington-dc/restaurant/minibar,499965,2026-03-17,US
Oyster Oyster,ONE_STAR,Vegetarian,Contemporary,premium,1,0,0,Rob Rubba,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.909302,-77.023015,/us/en/district-of-columbia/washington-dc/restaurant/oyster-oyster,1185069,2026-03-17,US
Pineapple and Pearls,ONE_STAR,Contemporary,NA,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.880707,-76.99514,/us/en/district-of-columbia/washington-dc/restaurant/pineapple-and-pearls,499974,2026-03-17,US
Causa,ONE_STAR,Peruvian,Latin American,luxury,0,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.9069049,-77.024685,/us/en/district-of-columbia/washington-dc/restaurant/causa,1198347,2026-03-17,US
Bresca,ONE_STAR,Contemporary,American,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.915782,-77.03195,/us/en/district-of-columbia/washington-dc/restaurant/bresca,562386,2026-03-17,US
Imperfecto: The Chef's Table,ONE_STAR,Latin American,NA,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.9039056,-77.0505927,/us/en/district-of-columbia/washington-dc/restaurant/imperfecto-the-chef-s-table,1194761,2026-03-17,US
Sushi Nakazawa Washington DC,ONE_STAR,Japanese,Sushi,luxury,1,0,0,,Washington,Washington DC,District of Columbia,USA,US,USD,0,,38.8946236,-77.0270052,/us/en/district-of-columbia/washington-dc/restaurant/sushi-nakazawa1160153,1160153,2026-03-17,US
